No,Tanggal,IDR
1,03/01/2022,"25.762.256,10"
2,04/01/2022,"25.980.910,20"
3,05/01/2022,"26.274.258,80"
4,06/01/2022,"25.718.327,60"
5,07/01/2022,"25.680.787,60"
6,10/01/2022,"25.639.118,00"
7,11/01/2022,"25.848.080,80"
8,12/01/2022,"26.044.198,60"
9,13/01/2022,"26.060.130,60"
10,14/01/2022,"26.099.175,20"
11,17/01/2022,"26.040.701,30"
12,18/01/2022,"26.102.979,00"
13,19/01/2022,"26.218.559,50"
14,20/01/2022,"26.405.113,20"
15,21/01/2022,"26.299.731,20"
16,24/01/2022,"26.305.439,20"
17,25/01/2022,"26.490.282,00"
18,26/01/2022,"26.279.788,30"
19,27/01/2022,"25.977.451,50"
20,28/01/2022,"25.751.148,20"
21,31/01/2022,"25.756.451,80"
22,01/02/2022,"25.797.250,10"
23,02/02/2022,"25.885.984,80"
24,03/02/2022,"25.775.440,60"
25,04/02/2022,"26.021.969,30"
26,07/02/2022,"26.124.187,80"
27,08/02/2022,"26.203.520,20"
28,09/02/2022,"26.197.857,40"
29,10/02/2022,"26.295.059,50"
30,11/02/2022,"26.200.094,20"
31,14/02/2022,"26.691.543,50"
32,15/02/2022,"26.373.262,90"
33,16/02/2022,"26.577.439,40"
34,17/02/2022,"27.136.925,40"
35,18/02/2022,"27.220.500,00"
36,21/02/2022,"27.179.674,20"
37,22/02/2022,"27.340.538,90"
38,23/02/2022,"27.328.635,60"
39,24/02/2022,"27.960.172,00"
40,25/02/2022,"27.035.571,20"
41,28/02/2022,"27.486.561,20"
42,01/03/2022,"27.692.176,00"
43,02/03/2022,"27.727.973,00"
44,03/03/2022,"27.732.211,20"
45,04/03/2022,"27.979.249,90"
46,07/03/2022,"28.511.813,40"
47,08/03/2022,"29.270.562,80"
48,09/03/2022,"28.357.736,20"
49,10/03/2022,"28.483.495,60"
50,11/03/2022,"28.303.324,80"
51,14/03/2022,"27.997.628,40"
52,15/03/2022,"27.388.158,80"
53,16/03/2022,"27.330.062,00"
54,17/03/2022,"27.893.642,60"
55,18/03/2022,"27.751.628,80"
56,21/03/2022,"27.748.617,00"
57,22/03/2022,"27.483.837,50"
58,23/03/2022,"27.784.360,30"
59,24/03/2022,"28.232.063,20"
60,25/03/2022,"28.046.799,00"
61,28/03/2022,"27.829.597,40"
62,29/03/2022,"27.423.780,00"
63,30/03/2022,"27.702.401,30"
64,31/03/2022,"27.877.621,10"
65,01/04/2022,"27.727.407,40"
66,04/04/2022,"27.655.408,10"
67,05/04/2022,"27.914.614,00"
68,06/04/2022,"27.749.766,60"
69,07/04/2022,"27.789.844,40"
70,08/04/2022,"27.907.625,00"
71,11/04/2022,"28.045.725,10"
72,12/04/2022,"28.175.453,70"
73,13/04/2022,"28.384.153,30"
74,14/04/2022,"28.219.755,50"
75,15/04/2022,"28.219.755,50"
76,18/04/2022,"28.219.755,50"
77,19/04/2022,"28.205.004,00"
78,20/04/2022,"27.983.840,70"
79,21/04/2022,"27.932.912,70"
80,22/04/2022,"28.088.403,90"
81,25/04/2022,"27.363.800,00"
82,26/04/2022,"27.468.141,20"
83,27/04/2022,"27.212.094,00"
84,28/04/2022,"27.413.466,00"
85,29/04/2022,"27.752.076,00"
86,02/05/2022,"27.752.076,00"
87,03/05/2022,"27.054.559,00"
88,04/05/2022,"26.935.333,50"
89,05/05/2022,"27.394.827,10"
90,06/05/2022,"27.260.192,70"
91,09/05/2022,"27.055.625,10"
92,10/05/2022,"26.983.580,80"
93,11/05/2022,"26.897.721,80"
94,12/05/2022,"26.881.552,70"
95,13/05/2022,"26.541.019,10"
96,16/05/2022,"26.554.412,50"
97,17/05/2022,"26.716.175,00"
98,18/05/2022,"26.669.063,90"
99,19/05/2022,"26.975.876,00"
100,20/05/2022,"26.922.387,60"
101,23/05/2022,"27.161.774,60"
102,24/05/2022,"27.341.812,40"
103,25/05/2022,"27.018.994,40"
104,26/05/2022,"27.001.084,30"
105,27/05/2022,"26.906.654,00"
106,30/05/2022,"26.959.843,30"
107,31/05/2022,"26.736.536,70"
108,01/06/2022,"26.854.364,40"
109,02/06/2022,"26.854.364,40"
110,03/06/2022,"26.854.364,40"
111,06/06/2022,"26.660.637,60"
112,07/06/2022,"26.748.915,20"
113,08/06/2022,"26.852.951,40"
114,09/06/2022,"26.918.206,40"
115,10/06/2022,"26.758.260,00"
116,13/06/2022,"27.027.007,70"
117,14/06/2022,"26.805.378,60"
118,15/06/2022,"26.940.435,00"
119,16/06/2022,"27.076.036,00"
120,17/06/2022,"27.326.760,50"
121,20/06/2022,"27.227.949,00"
122,21/06/2022,"27.298.268,50"
123,22/06/2022,"27.322.002,90"
124,23/06/2022,"27.366.950,20"
125,24/06/2022,"27.075.074,40"
126,27/06/2022,"27.038.371,50"
127,28/06/2022,"27.005.616,30"
128,29/06/2022,"27.026.307,00"
129,30/06/2022,"27.116.908,00"
130,01/07/2022,"26.925.801,00"
131,04/07/2022,"27.120.574,80"
132,05/07/2022,"26.638.476,00"
133,06/07/2022,"26.316.254,30"
134,07/07/2022,"26.184.291,00"
